bug_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree
1068674,4860.0,5.0,101.0,6.0,0.15,4.32,530544.02,1.65,25.0,79.0
1067519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072780,1619.42,1.83,79.25,2.5,1.61,4.07,171712.25,1.92,29.89,38.89
1069920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068394,1133.0,3.0,43.0,3.0,0.2,2.26,44281.51,1.92,7.0,46.0
1069559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072021,833.0,5.0,36.0,5.0,0.1,1.45,1781.2,1.21,1.5,19.0
1072645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073862,1212.0,3.0,41.0,4.0,0.27,1.53,14334.75,1.92,4.0,47.0
1074678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066543,224.0,4.0,8.0,2.0,0.09,1.65,0.0,1.92,1.0,5.0
1074280,1042.0,3.0,38.0,4.0,0.24,1.81,165605.04,1.92,5.0,43.0
1073410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070488,1965.0,5.0,73.5,3.5,0.14,1.46,240.21,1.21,1.25,13.0
1072775,1815.5,2.0,93.5,3.0,1.4,4.2,181234.38,1.92,31.33,40.33
1071777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074401,903.6,2.0,43.6,2.2,0.5,1.56,99150.37,1.51,2.86,19.43
1072491,455.33,1.67,25.0,2.0,0.06,1.44,4861.56,1.92,1.0,24.67
1071721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067565,305.0,6.0,8.0,4.0,0.19,1.46,14050.75,1.92,2.0,26.0
1071835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073250,1432.0,4.0,77.0,4.5,0.33,1.53,2246.22,1.92,4.0,29.5
1067845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
