Code churn,Test churn,Prior changes,Average cyclomatic,Number of functions,Comment ratio,Closeness,Betweenness,PageRank,Number of comments,Developer exp.,Reviewer exp.,Review duration,Developer sentiment,Owner sentiment,LOC,Maximum nesting,Comment words,Landing delta,Module number,Response delta,Release delta
22.0,0.0,1420.0,4.0,273.0,0.17,1.77,4202542.85,31.54,34,38.0,3.0,0.62,-2,-2,8083.0,6.0,0.0,5.9319212963,1.0,0.893935185185,1.35574074074
85.0,0.0,1059.0,4.0,225.0,0.21,1.61,174538.54,5.89,40,77.0,8.0,15.24,-3,-1,5909.0,7.0,9.5,0.0427546296296,1.0,0.163912037037,2.60498842593
12.0,0.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4.0,10.0,19.34,-2,0,0.0,0.0,29.0,0.0323611111111,1.0,0.0199884259259,6.42662037037
269.0,12.0,3765.0,2.0,467.43,0.17,1.66,148977.11,5.64,49,363.0,212.0,21.23,-4,-4,3046.71,2.0,24.0,-43.2212847222,3.0,0.211215277778,29.5328125
19.0,105.0,474.0,4.0,98.0,0.11,1.91,321409.21,1.72,47,6.0,0.0,12.71,-4,-4,2522.0,4.0,35.0,-1.82594907407,2.0,4.66798611111,26.3025231481
23.0,3.0,142.0,4.0,30.0,0.11,1.91,411.8,1.79,16,11.0,0.0,43.01,-3,0,692.0,3.0,0.0,1.05638888889,0.0,0.4921875,7.44662037037
28.0,0.0,78.0,2.0,226.0,0.06,1.87,0.0,1.34,21,26.0,5.0,23.23,-3,-3,4228.0,4.0,0.0,-4.80150462963,1.0,4.69303240741,4.42775462963
116.0,0.0,47.0,3.0,16.0,0.33,1.12,9325.81,1.53,17,4.0,3.0,85.28,-4,-4,326.0,4.0,11.0,7.77855324074,1.0,6.70378472222,41.1361226852
101.0,0.0,1480.0,2.75,108.75,0.31,1.45,2160685.05,21.04,13,46.0,0.0,-0.46,-2,0,1978.75,4.25,0.0,5.43644675926,2.0,0.711388888889,11.3512037037
8.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,15,33.0,0.0,44.06,-2,-2,0.0,0.0,4.0,0.255127314815,1.0,0.375891203704,10.6230902778
205.0,0.0,207.0,2.67,116.0,0.14,1.77,2572.54,1.39,91,20.0,1.0,96.32,-4,-3,2564.0,3.33,0.0,0.138518518519,2.0,0.589282407407,6.32618055556
7.0,0.0,35.0,5.0,33.0,0.17,1.88,25940.97,3.93,15,7.0,0.0,1.37,-3,0,970.0,5.0,0.0,-0.4378125,1.0,0.790011574074,32.231099537
26.0,0.0,23.0,3.0,53.0,0.1,1.83,5964.76,1.71,20,0.0,3.0,74.48,-2,-2,1035.0,4.0,76.0,49.0961805556,1.0,0.2903125,28.6123263889
21.0,0.0,112.0,4.0,44.0,0.18,1.84,828937.22,1.64,13,0.0,18.0,159.0,-3,-2,1566.0,3.0,13.0,0.872222222222,1.0,0.00993055555556,8.47592592593
42.0,0.0,325.0,2.0,93.0,0.02,1.65,72443.59,1.93,24,0.0,23.0,0.19,-4,-4,960.0,3.0,0.0,4.79116898148,1.0,6.17459490741,4.55998842593
31.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2.0,0.0,1.15,-2,-2,0.0,0.0,97.0,0.536828703704,1.0,0.917256944444,25.7325694444
125.0,0.0,134.0,2.5,29.5,0.1,1.65,61694.04,1.52,21,58.0,0.0,2.71,-3,0,929.0,3.0,14.5,10.0331134259,1.0,0.267604166667,14.8462152778
728.0,79.0,4783.0,2.25,61.0,0.19,1.4,135479.21,1.89,32,24.0,217.0,29.49,-2,0,1605.0,2.0,41.75,-0.703935185185,6.0,0.0,0.370752314815
0.0,8.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5.0,1.0,0.4,-2,-2,0.0,0.0,11.67,-0.483634259259,1.0,0.0165162037037,34.3506828704
20.0,0.0,310.0,4.0,95.0,0.19,1.84,1113.78,1.39,15,46.0,84.0,1.34,-3,-2,2490.0,6.0,0.0,1.72439814815,1.0,1.90023148148,10.4315046296
683.0,0.0,835.0,3.0,59.33,0.17,1.83,119901.17,1.51,41,20.0,33.0,10.65,-3,-3,1519.0,2.67,71.89,0.141979166667,5.0,1.64105324074,2.38541666667
125.0,239.0,377.0,3.0,177.0,0.09,1.76,20937.39,1.48,25,20.0,0.0,0.0,-3,0,3530.0,4.0,0.0,51.2268402778,3.0,1.76502314815,0.0965856481481
315.0,0.0,159.0,1.67,40.33,0.2,1.77,4885.14,1.55,23,10.0,21.0,1.8,-4,-2,817.67,3.33,2.0,6.37854166667,4.0,3.83980324074,13.3022916667
160.0,0.0,191.0,5.2,45.2,0.1,1.8,221574.83,4.8,29,35.0,36.0,71.91,-3,-1,1182.4,3.2,22.25,64.6375694444,2.0,0.546956018519,18.1388657407
28.0,0.0,1649.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,18.0,57.72,-4,-1,0.0,0.0,10.0,0.0,1.0,0.00402777777778,21.5632291667
14.0,0.0,359.0,5.0,66.0,0.06,1.16,656953.66,2.9,6,23.0,359.0,3.73,-2,0,1959.0,6.0,0.0,0.827453703704,1.0,1.81722222222,0.418020833333
34.0,155.0,773.0,10.0,9.0,0.14,1.34,671632.83,7.28,19,18.0,0.0,27.38,-4,0,426.0,2.0,10.0,0.3559375,2.0,1.58685185185,7.48516203704
8.0,0.0,60.0,12.0,153.0,0.47,1.12,916178.76,33.91,13,6.0,0.0,0.04,-3,-3,7186.0,10.0,0.0,-0.501944444444,1.0,0.0503009259259,3.9528587963
24.0,0.0,131.0,3.0,15.0,0.16,1.87,30720.96,2.17,40,0.0,25.0,0.73,-4,-3,455.0,2.0,0.0,0.0396296296296,1.0,0.154166666667,20.7282291667
185.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,20,7.0,4.0,1.5,-4,-2,0.0,0.0,70.6,5.86913194444,2.0,0.0996527777778,26.8950462963
166.0,0.0,400.0,2.0,33.75,0.18,1.83,64400.8,1.64,13,62.0,0.0,5.91,-2,-2,713.25,1.75,0.0,0.0707986111111,2.0,0.607638888889,12.3826041667
80.0,0.0,62.0,2.33,27.33,0.58,1.44,15215.97,1.93,26,4.0,0.0,-0.04,-2,0,692.67,2.67,24.0,0.0618634259259,1.0,1.18209490741,13.8361921296
279.0,0.0,59.0,2.5,81.5,0.09,1.35,11297.04,1.47,33,28.0,0.0,8.81,-2,-2,1674.5,4.5,0.0,1.25880787037,2.0,1.6225,15.3661342593
24.0,0.0,28.0,10.0,88.0,0.14,1.12,570.66,1.3,16,4.0,0.0,21.57,-4,0,4113.0,7.0,0.0,4.15586805556,1.0,2.08082175926,2.53179398148
100.0,34.0,111.0,3.5,23.0,0.2,1.66,37326.71,1.76,75,6.0,37.0,0.06,-3,-2,740.5,3.5,4.6,-0.755219907407,2.0,3.39340277778,3.63202546296
12.0,0.0,926.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8.0,12.0,90.28,-4,0,0.0,0.0,8.0,1.93357638889,1.0,1.11141203704,28.5076041667
