bug1,bug2,,title1,title2
https://bugzilla.mozilla.org/show_bug.cgi?id=1061600,https://bugzilla.mozilla.org/show_bug.cgi?id=1073991,n,"Assertion failure: [infer failure] Missing type in object [0x7f6dbe642938] : float, at jsinfer.cpp:288",Assertion failure: [infer failure] Missing type in object [0x140205ac0]
https://bugzilla.mozilla.org/show_bug.cgi?id=1061600,https://bugzilla.mozilla.org/show_bug.cgi?id=1237998,n,"Assertion failure: [infer failure] Missing type in object [0x7f6dbe642938] : float, at jsinfer.cpp:288","Assertion failure: [infer failure] Missing type in object [0x129586640] marker: [0x129586850], at /builds/slave/m-cen-m64-d-000000000000000000/build/src/js/src/vm/TypeInference.cpp:305"
https://bugzilla.mozilla.org/show_bug.cgi?id=1195939,https://bugzilla.mozilla.org/show_bug.cgi?id=1197051,,[EME] Seeking around an encrypted video quickly causes playback to stall,[EME] Playback stalls after seeking encrypted video (again)
https://bugzilla.mozilla.org/show_bug.cgi?id=1074378,https://bugzilla.mozilla.org/show_bug.cgi?id=1133305,n,"crash in D3D10::CResourceCopy::ResourceCopyRegionGPU(D3D10::CResource*, unsigned long, unsigned long, unsigned long, unsigned long, D3D10::CResource*, unsigned long, D3D10_DDI_BOX const*)","[Youtube HTML5 video] crash in std::_Atomic_fetch_sub_4(unsigned long volatile*, unsigned long, std::memory_order)"
https://bugzilla.mozilla.org/show_bug.cgi?id=1074378,https://bugzilla.mozilla.org/show_bug.cgi?id=1148641,n,"crash in D3D10::CResourceCopy::ResourceCopyRegionGPU(D3D10::CResource*, unsigned long, unsigned long, unsigned long, unsigned long, D3D10::CResource*, unsigned long, D3D10_DDI_BOX const*)","shutdown crash in APZCCallbackHelper::SendSetTargetAPZCNotification(nsIWidget*, nsIDocument*, mozilla::WidgetGUIEvent const&, mozilla::layers::ScrollableLayerGuid const&, unsigned long long, nsRefPtr<mozilla::layers::SetTargetAPZCCallback> const&)"
https://bugzilla.mozilla.org/show_bug.cgi?id=1266213,https://bugzilla.mozilla.org/show_bug.cgi?id=1272751,,[e10s] Block users of GTK+ 3.20+ from e10s experiments on Beta,[e10s] Remove block of GTK+ 3.20+ from e10s on beta
https://bugzilla.mozilla.org/show_bug.cgi?id=1118694,https://bugzilla.mozilla.org/show_bug.cgi?id=1119158,,Always retarget OnDataAvailable for raster images,Retarget OnDataAvailable for images to a special I/O thread instead of the image decoding thread pool
https://bugzilla.mozilla.org/show_bug.cgi?id=1173747,https://bugzilla.mozilla.org/show_bug.cgi?id=1173749,n,URL and search bar autocomplete popup's border should be lighter on Windows 10,URLs in the URL bar's autocomplete popup should use a lighter blue
https://bugzilla.mozilla.org/show_bug.cgi?id=1059389,https://bugzilla.mozilla.org/show_bug.cgi?id=1256555,n,"content/media/MediaStreamGraph.cpp fails to build with --disable-webrtc:  ""error: use of undeclared identifier 'gFarendObserver'""",--disable-webrtc builds fail with dom/media/MediaStreamGraph.cpp:383:5: error: use of undeclared identifier 'shouldAEC'
https://bugzilla.mozilla.org/show_bug.cgi?id=1220699,https://bugzilla.mozilla.org/show_bug.cgi?id=1221674,n,Add telemetry probe to measure vsync latency in the refresh driver,Add telemetry probe in the content process to measure the time between refresh driver ticks
https://bugzilla.mozilla.org/show_bug.cgi?id=1242810,https://bugzilla.mozilla.org/show_bug.cgi?id=1268626,n,"Assertion failure: MIR instruction returned object with unexpected type, at js/src/jit/MacroAssembler.cpp:1445","Crash [@ ??] or Assertion failure: MIR instruction returned value with unexpected type, at js/src/jit/MacroAssembler.cpp:1454"
https://bugzilla.mozilla.org/show_bug.cgi?id=1209471,https://bugzilla.mozilla.org/show_bug.cgi?id=1268626,n,"Assertion failure: MIR instruction returned object with unexpected type, at js/src/jit/MacroAssembler.cpp:1531","Crash [@ ??] or Assertion failure: MIR instruction returned value with unexpected type, at js/src/jit/MacroAssembler.cpp:1454"
https://bugzilla.mozilla.org/show_bug.cgi?id=1183153,https://bugzilla.mozilla.org/show_bug.cgi?id=1268626,n,"Assertion failure: MIR instruction returned object with unexpected type, at js/src/jit/MacroAssembler.cpp:1789","Crash [@ ??] or Assertion failure: MIR instruction returned value with unexpected type, at js/src/jit/MacroAssembler.cpp:1454"
https://bugzilla.mozilla.org/show_bug.cgi?id=1181352,https://bugzilla.mozilla.org/show_bug.cgi?id=1256085,n,Sync menu in Hamburger menu not disabled in customization mode,Australis Menu button () doesn't look pressed in Customize mode if I use context menu in Australis Menu
