node,page_rank,betweenness,closeness,indegree,outdegree
security/nss/lib/ckfw/builtins/bfind,2.531,158.781,3.22,1,11
dom/ipc/AudioChild,2.285,0.0,3.22,0,1
nsITransportSecurityInfo,2.285,0.0,0.812,0,0
content/base/src/nsDOMAttribute,2.712,111.79,3.22,7,45
unknwn,2.285,0.0,0.812,0,0
media/libvpx/vpx_config_c,2.285,0.0,3.219,0,1
sys/procfs,2.285,0.0,0.812,0,0
gfx/thebes/gfxFT2FontList,2.454,310.696,3.22,3,48
tools/profiler/libunwind/src/src/mips/Linit_local,2.285,0.0,3.218,0,1
toolkit/crashreporter/google-breakpad/src/common/linux/linux_libc_support_unittest,2.285,0.0,3.22,0,4
content/events/src/nsDOMAnimationEvent,2.466,1.335,3.22,2,14
nsprpub/pr/tests/fsync,2.285,0.0,3.22,0,15
content/html/document/src/VideoDocument,2.285,0.0,3.22,0,24
gfx/ycbcr/yuv_row_posix,2.285,0.0,3.219,0,3
chrome/browser/meta_table_helper,2.285,0.0,0.812,0,0
dom/telephony/Telephony,2.548,390.25,3.22,3,39
toolkit/crashreporter/google-breakpad/src/processor/address_map,3.554,0.0,3.219,3,0
toolkit/xre/nsCommandLineServiceMac,2.902,0.0,3.22,1,4
qabstracteventdispatcher,2.285,0.0,0.812,0,0
nsprpub/pr/include/md/_nextstep,2.285,0.0,3.22,0,3
toolkit/crashreporter/google-breakpad/src/third_party/linux/include/gflags/gflags,3.257,2.0,3.22,1,2
content/svg/content/src/nsSVGScriptElement,2.326,8374.266,3.22,1,31
intl/uconv/ucvtw/nsUnicodeToBIG5HKSCS,2.552,0.034,3.22,2,9
nsIDOMSVGPathSeg,2.285,0.0,0.812,0,0
nsprpub/pr/src/threads/prcthr,31.641,22503.25,3.22,7,20
media/libcubeb/include/cubeb,2.285,0.0,3.219,0,2
content/base/public/mozFlushType,5.6,0.0,3.22,6,0
xpcom/io/nsStreamUtils,7.883,21698.683,3.22,46,18
gfx/gl/GLContextSymbols,2.454,0.0,3.22,1,4
other-licenses/android/assertions,5.408,0.0,3.219,3,0
security/nss/lib/ssl/sslcon,3.379,16769.905,3.22,8,51
js/src/vm/MethodGuard-inl,7.511,1382.081,3.219,9,17
content/html/content/src/nsHTMLObjectElement,2.285,0.0,3.22,0,43
security/nss/lib/libpkix/pkix/params/pkix_resourcelimits,6.866,331.417,3.219,8,8
content/base/src/FileIOObject,2.399,5.536,3.22,2,24
mozilla/_ipdltest/PTestShutdownSubChild,2.285,0.0,0.812,0,0
toolkit/crashreporter/google-breakpad/src/client/linux/android_link,2.285,0.0,0.812,0,0
other-licenses/7zstub/src/Windows/Control/Dialog,2.816,1122.368,3.219,2,8
