bug_id,bug_inducing_commits
1257053,001519eae1c8^d3d258339178^52d7c9292ecf^a1e66a69688f^5ad7d2771c73^c92816f3028c^ff5c998babfd^bbab21ac3b8c^73f748c3b24b^8b834fb9e739
816004,
765069,
1066934,
1270496,
765065,
672485,
830086,2583a19e59ef
1283625,d2b0f265bea5^b9583beee116^a1ac6709d478
854926,
1289634,
1008619,
744152,
748609,
929617,
798045,a99d60858d86^219499cc5eff
1001759,
861188,
1004506,
1250704,
1171792,
861182,ae5133c2c865^d9797d99f5f7^a13eed3a20e7^d1f113402481^31823d274fd1^469a48d37280^037363fa0258^9b2a99adc05e^949a42180ea3
861181,37cb11f41bb2^d9797d99f5f7^1f5912993f11^ae5133c2c865^31823d274fd1^b5c4b792f3f2^a01b25015ca3^037363fa0258^7df4c375164f^e7854b4d29ba^34d30fa24371^469a48d37280^f715fb87c87f^99db2f52b45c^21f2d6c4c976^7db218a91c88^ec7577dec4fc^9b2a99adc05e^949a42180ea3^f54747d3a908^0a0b0c3f614b^a16372ce30b5^8f3ff1995383
1124516,
1201069,
1241558,
985859,ae4cfe0a9bdb^571787c97925^9b2a99adc05e
1204580,70e3d6723e8e
781343,9dde6af30ab2^318083d40e1c^090fd1585e34^66c8ad02543b^73c9ed9aa8f0^bac73f9f2d2b^f2cdc19acef3^ee0193bef630^e9da34dfa8c5^948fe2e7f1d5
1023463,
1123882,ad84c1e95b99
1113403,
1164468,
744480,b343cef45420^23d5bcb2c5d2
942565,
773641,
1281192,b475b36a5f4a
1169981,
1094370,97229b790012
964861,
956284,
1291277,
1220033,24a7f0fda98b
1191269,
952365,172241f160f1
962884,
686398,449aa183a6c3^93f7d12c49bf^8d80930e10f3^1438b43ad6e8^13f3a8d7af4f^048ddcc077d8
669792,
1137961,
678475,
1234310,
785885,
1249659,7595a1641deb
879647,
1022856,
1054099,
820561,
802784,
1061525,116329598a64^d6646242ba77^b19ddc0219f5^110fc4f8fb09^6bd01c3b4945
873640,
667512,
762590,
988619,5b35eb07b456^80a21124ddbd^fe7a314efca0
874014,
1092023,a57419135bb5
1274486,
763232,
715204,
791826,88b93c358499^07663db60590^98ee88c41e23^2ce70aa933a4^fb2f301f6d0b^b5c4b792f3f2^9b2a99adc05e^e7854b4d29ba
1161838,
798446,
991400,
1173792,
812809,
762046,
727547,04d2879af699
693505,
798913,
750511,
745426,
1077687,
799469,dcae72a1333c
801784,9b2a99adc05e
809401,
799462,
1163111,
1252707,2095011ec061
805153,
1255281,
1280482,
1255934,
734490,3173494c8bdb^218b8820a90d^a0c87ff5a81c
1162530,f9203039a956
949471,
845837,
743748,b0c120ba1da1^9939bcd259a3
860326,
1236975,
701092,
841239,
774914,
701098,8ba23ea5df29^8200dc82b5ed
1236979,
1089670,
1199878,3e8526f57706^76f12bc3d57a^5a780859dc1c^af0fcf52e4b7
1199879,
1219134,aa240de37603^4cedbdf21ddd^5d3e70bda517^99126eb54dff^ed2ff16c4826^5b615a235096
1088660,
1290633,
1117406,98749e68d9d3^08434d415b5c^3542b2bfa001^ca38bd9ec80a
1090535,
1262556,
984530,
847834,
984535,
1159744,
1026008,731a5fcf1328
1159747,7d6ee599c58b^d4b5aac253d2^c7a12cacc09b^6e56521bea69^a16372ce30b5^a42104b71190^1a89509e25e4
1119119,20bdca5301b0
663532,b07a1861acf2^659e8d1d7283^85083c2d1f32^79ec1d090fda^16e05af6610d^5f1766d9c0d9^34606b4dd39f^a00490016114
1026003,
1137580,
1137586,
782480,
1264226,
1264227,
1020502,
1025078,
975719,
982248,95f848f55c90
781259,
1283025,
1153478,
1115802,c5391fab9cc1^cfecc1e79952^3fdb887ba7d7
808756,378c38303325
904687,
698335,9b2a99adc05e
719947,
723044,
794246,
1090287,
1017276,
445498,
646312,
1026919,d51df6492c29^6e442768f0ca^c0f11fc33030
1148701,
888839,
1108767,
1119803,
888836,
811778,
888834,
713450,
814078,
975773,
849497,
849495,
786619,
1125963,
1101670,
1068230,
717521,
896142,
765805,
946873,
815473,69c7ee7683e0^a8171812fe05^d2b658828771^b5c4b792f3f2^5ef233849296^438c192e561b^b529ffc1012b^418f162dfd8e^9b2a99adc05e
813867,
1247041,1f7787efce87
946877,
991705,
1211000,c92bc89edaee^712ee72787ad^e7854b4d29ba^2eded1bead20^719a2fb28324^1aa0da948404^dcdc51bc1466^fbcc88ae790e^cba447567a56^b5c4b792f3f2^c304aa9a55e4^5d63594c05a9^a16372ce30b5^8fcced3ba6d8
775206,4a0214e37148^4aadb903f941^8b5e83943958^d7d612dd7255
785348,
775200,
1218086,
950026,ebdf97f9ec52
1192814,
788100,
778442,f07aca82e80e^e7854b4d29ba
1257861,d0f7f15e15fb^c6791b67b381
957258,16a853570990
843866,9602f98a6a70^550a780f73ae^474d3f16960f
771525,
1198058,
811596,4836dc515ac2
774009,
925459,ab0a6fdf0144
957256,36e2a15feb6a^5a9badd6db00^f3e3a8389cdf
1261776,3bf6b6a31b6a
1078309,
983169,8394fed3332e
1123062,
849727,7f2e295e4981^ac291d349daa
1133802,
759469,
935473,
1233803,
1078304,
858550,
787624,
1074547,
787623,
747445,
907373,
1229605,
997970,
1209471,
1122445,5866fd3c075c^57a9d6af1a1e^73a818b6179f
886657,6ac63545817c
1122446,
1268569,877e06cd774b^80eff2b52d14^583d84aeb6c6^4d66cd80b6be^86ce91bee036
1105698,
1181173,
888765,5cd49ff35fb9
1239787,
1082745,
1236364,432bea2c0c68
681621,
946296,
1144617,be1a1fd58f11
755062,
826267,
931876,
1168564,
1147026,73a818b6179f
838793,
1240407,e3d9e10c19f9
995407,e72c1dce9572^9240f01e12b6^b90d50c9d8be
995157,
803006,
857765,
974195,
1105520,
1105523,
1244241,
1105525,
811050,
1244533,64b1ba06a6fd
861403,8e216406592f^ec7577dec4fc^9b2a99adc05e
1244248,
1210752,
1030719,
213517,
888492,
1289280,
760972,
1066543,
1082294,
1010577,
843273,c3ee99044634^03a61b02049e
1274332,
1199678,
1248794,
1155684,d62549575865^ef5b7b1039ac^43cccb89e04a^090ab7d32dcc^117eb9d87a11^5fc1c5649927
1248796,
1116056,f75676ac4f7d
696591,
702466,9b2a99adc05e
1248792,9f8755778ca6^980de2427838^b680d92e4afc
1240549,
1163583,7d4feaf04bca
898647,
1250550,24700c20b325
977089,
1284322,5dd1d10d4c99
726125,6032f7c15af8^9b2a99adc05e
737307,
1285052,
1135954,fa47f05a4ef9^16cc18d74a8c
1079876,
1079874,
1136976,
1230206,
744745,
1190502,b1c4aac68d3c^0d3adc8bf117
732233,0895c4370e7a^8767a9c9a4bd^e7854b4d29ba^23f3b97f655a^906f66ccd8cc
771989,
918981,
1240892,f05991fd97e3^7c48a3782efe^5a9badd6db00^3305baa9f049^e8c7dfe727cd^cfaa8aa62370^a24884c8140a^09362c5dceaf^32fcd54fd18b^15fc1cf4e5b2^e24335d5c15f^b94bc4be53ca^a16372ce30b5^ba12d004093f^c0c72a444eec^ec7577dec4fc^9b2a99adc05e^e7854b4d29ba
943510,
790488,
967432,
1264820,
1057685,
999477,7aaf8db2d681^892751e80036^fe62ae1404a4^68062bad2d33
889016,4ee6b1acd5ea
1073792,
1153309,
1004194,
1137009,9b2a99adc05e^b397d9d1b6c1^3de887dc6015^117757b468b0
1267329,be59e0089a72
813199,
1152489,
1267320,
880734,
1175794,
991273,
1062355,
755935,
760904,
1104853,8892214038df
781883,
657588,913708d05f0f
1049501,a95fee89e4be
966154,497967ad20bf
878705,
905136,
878703,
1217168,
1023539,
1179262,
654725,d8dc49d5bd60
969169,
783282,
649795,
817294,
1216349,
1172076,
1035846,
1074686,
913247,
1009465,8741f1f153ca
1109751,
1109757,
970209,
1091031,
1206469,
707855,d3e230bec2f9
1096026,d6f5085fec81^3297733a2661
820735,
1128188,
1108455,ebdf97f9ec52
1147207,
1221290,
711201,
923458,345ebb6f3f3e
1221297,
1237963,df9aaad130a3
839913,
973502,
976023,
1222925,
844671,
729536,
1132467,
1254104,
942604,
874600,
942600,
668941,007a04736be8
1253395,b374a409750b^90f70787de03
1076943,
937539,
1210877,7221a9a9caf7^ec7577dec4fc^3e09d7c534e3
1071238,
1119776,6ece485bb722^5beea07a9f5f^3f5e3a855a3d^00ef37c422c6^91d7659bb351^dadb65fedc08^392319d8c1fa^e885d8128d81
1206688,
964078,b88dfa4ac80c^9b2a99adc05e
920397,6fd4bb500d42
840601,
804927,
1185653,c9829bff3ae4
645799,
868498,24c0a640eac1^4ccff5df452c^9b2a99adc05e^000fe854b433
1111828,
976369,
736421,
756701,
1274545,
1121342,5876e536d628^05fe24d0499a
874950,f5d647210dec^ec2bba7d11b4^f9712e32abb8^ade1eb484aff^b827e694565d
1025267,
891056,5f0882ee58c0
792373,
1129369,
698917,
1277937,e45aca2a5d87^b4f2447ed91a
895222,f3cd319dd52d
1208687,
664916,
988648,
996069,fb854ad5a86b^9b2a99adc05e^68842f61d58b^b76830e74ac4^4a7cf5d271cb
659728,
726656,
906839,
787818,0c481048e522
1248335,
811193,
619043,ac68245b5363^334f57fa1ade^7fa9133d1fc6^61fb9e7374eb
1149420,
883416,e152c2763cad^f65c60f33425^0930a6a427d7^c0270004efac^e915987a1cda^77a3ee888b8f^9cf740464cd0^50d93261dbb8^bfb82f29c928
1088508,
883145,
1105066,
1121692,96b86345fe30^1714687f2c45^2bf72fd26d40^deae19d73b34^539cf3404ad2^3de3edf0c698
691571,
1223520,7fbc38f3b73c^af920a0895a7
1063066,7265bb0c053d^fe41f6070323
699741,
814716,d3f448b20f20
699743,
699742,72357a8f0d89^5d24f6d3df66^5ffe95aa3f68^266535ecad79^09dc9b406bd6
813677,
1069605,
815593,ed9e42293a6f^ec2bba7d11b4^31c47102a6fc^25a13d26509d^70e60379729b^9b2a99adc05e^c62fe949af60
815042,
916755,c05f8dce65ca
788598,
916751,
797231,
1137355,
1157963,45f1cf2c59d2^23df95aba9cd^09ab58c800a1^f5c918ce6ac5^0b376024e3e0
1271477,827f631db4de
778582,
1207157,df0130484852^9b2a99adc05e^3b63378162d7^37284b2f5efa
711651,9b2a99adc05e
888172,
1028962,
1019627,4a1217f771c1^64c6040bad03^ba7496b49c06
1030523,
725286,
763726,
789422,31504d265266^64e8c2e1bc2e^c20d415ef1b5^860d857e899d^df3801e30225^d4043fc86503^9327ef16ef59^861afa477aba^302e3ea21728^c2804e798aa2
1085475,
967015,
1021396,20e385cea505
800799,8b18a47000f8
779187,
1166462,
950719,
1166392,
746633,
687951,b556ff5b01a8^0e90eb7b4054^938c1a177114^1ca3fd42ffef^ff66f63b2dfe^a40299ada2f7^81c343a150a4^339457364540^ca4d24b04c2c^1d31362c86ce^5f259cb889bd^3d646df22a4b^a9e76464fbcf^6762a235cd77^c71bff739c96^32aa5d70f490^d8316d783668^f2177f643230^b195c6b67fdc^094c2e9de304^6debdbad8fa5^5db593415bf1^ffb53ca317bc^e5958cd4a135^9b2a99adc05e^2cf0bbe3772a^4b5ceed32539^55fd41de8ba3^707cefa34478^119794c25719^af1ffbeb95fd^d796fb18f555
868342,
566092,
802457,0cafa2cbe386^ea3adcdfa653^95253d8a4143
1237770,075a07c452d2
802456,920142c5558f^69e943a96a42
858960,
1045945,c4883720cfb3
747857,
1010747,3436c259fb42^ee14945b452c^a5788d299d6a^6abdc780ba2b^d7e2dbe78a8c^b39e4dce0e09^85be8ab85fbf^d53be0e3442d^a1b396e1f1dd^32da64c564db^0fc08201d445^1a9f6de629e0^ad6e00aaa6cd^8e30d56cf29d^d41ca12d2527^1fe0f523e644
1293772,a6d9d8927dd2
1255138,3bff8885288e
1255139,
1248883,
971341,
930327,
855236,
1122586,5aee2a79cbb3^4568af6d76d3^67a2e6a133ff
817955,
1019198,affd460bc3d7
1085745,
750846,
1097862,
1178650,
1075336,
1089183,
1236170,
1282992,
1176252,
1278818,3fd104ef3d03
1123189,e4679c01892b
979477,
1275398,23080ad39e30
1264076,d8dc49d5bd60
998851,
794025,8e7da0684155^4d312cb93a94
1081157,
