bug_id,regression_ids
1190635,1216431
1080867,1158031
1206516,1211892
1271477,1277818
1148071,1183433^1163239
1240985,1257314
1219134,1236746^1239066
1243071,1283330
1193387,1200656^1200187
1240054,1267579
1270161,1273070
1154115,1178961^1166492
1095474,1182987
1073825,1240025
1078337,1088498
1150277,1268984
1233819,1283594
1138616,1221160
1251334,1279614
1120747,1194488
1127213,1143968^1136360^1136107
1118322,1147728^1204922
1223512,1258236
1118655,1148832^1141819
1111966,1129877
1206977,1289378
1206979,1234553
1148949,1196539
1083648,1174486
1119774,1144899^1292505^1228314^1285867
1119776,1151175
1262136,1277818
1223193,1239504
1208946,1262635
1043859,1187804^1164340
1219330,1293772
1154366,1156662
1204922,1239861
1051822,1201051^1212349
1128357,1284875
1160506,1273154
1062920,1162218
1108836,1172824
1154536,1210232
1205083,1273691^1257028
1145405,1160914
1175366,1279063
1246319,1249438
1110268,1156058
1066410,1067718
1206836,1210291^1285867
1073250,1109677
1126465,1128576^1129877^1129247
1206568,1236746
1196398,1229339^1253471
1147521,1153145^1155241
1107339,1236746^1239066
1118597,1190258^1271847^1253471
1102570,1149815
1149605,1275853
1107666,1272858
1248913,1275026
1058376,1169268
1217168,1241060
1121692,1143575^1129247
1178653,1236548
1082178,1162218
1136958,1223736
1063048,1137716
1151821,1161642
1164741,1189282
1146222,1236746
1238496,1281593^1246388
1089764,1124189^1210294
1185820,1251697
1131487,1163227
1117925,1135271
1198435,1266926
1096089,1125776^1128397^1129247
1143299,1153695
1179110,1269408
1203616,1276483
1083927,1270753^1157670^1142694^1165217^1183689^1142863^1124189
1223378,1231974
1145143,1204922
1102642,1195073^1175058^1259916^1186257
1113062,1125940
1114383,1195073
1110608,1255626
1152048,1190985^1277943
1123452,1283724
1121148,1188643
1243538,1266013
1272916,1276184
1137511,1244639
1167189,1266831
1106448,1285867
1083079,1130681
1081911,1153724
1219711,1223655
1132572,1166133
1120128,1171094
1217909,1242482^1247436^1231974
1196696,1267637
1243607,1244913
1263991,1286281^1287163
1078017,1212783
1062293,1190676
1165851,1236258
1109954,1143575
1072780,1258144^1117295
1229585,1285047
1044975,1251894^1087270
1144366,1290422
1211970,1249652
1139271,1148203^1149278^1271847
1205156,1286096
1069401,1193414
1246447,1294500
1109644,1135655
1059797,1239789
1262731,1264403
1216658,1272332
1120655,1280132
1089328,1234170
1126723,1136827
1173260,1243226
1061696,1068613
1213567,1240607
1276732,1278403
1145631,1191936^1148033^1160321^1165833^1246091^1219469^1270161^1265045^1152921^1269539^1179935^1169440^1152051^1247835^1215115^1180070^1172785^1271848^1188265^1157546^1179051^1167816^1174450^1221043^1203766^1245241^1155547^1227327^1244995^1248197^1251272^1184333^1164567^1224659^1268822^1147193^1251163^1249503^1270023^1213154^1202788^1207270^1212904^1190252^1162861^1278205^1251697^1248851^1234548^1284030^1147894^1167608^1166847^1168042^1153023
1055904,1134064^1133625
1170809,1255597
1136397,1294013
1207556,1254856
1151361,1179051
1120945,1276920
1167883,1274922
1141081,1235573
1089833,1177013
1079627,1180931^1141819^1285867
1092859,1133386
1159641,1228723
1149298,1246925
1199224,1224994
1160890,1249652^1229071
