,bug_id,max_pos,min_neg,overall,owner_pos,owner_neg,manager_pos,manager_neg
8751,1119064,1,-2,-1,1,-2,0,0
8752,1119066,2,-2,1,2,-1,0,0
8753,1121065,2,-2,1,0,0,1,-1
8754,1121613,3,-3,1,3,-2,0,0
8755,1121323,3,-3,2,3,-1,0,0
8756,1119694,1,-1,0,0,0,0,0
8757,1120899,2,-2,-1,2,-2,0,0
8758,1121757,2,-2,-1,0,0,0,0
8759,1119240,2,-1,1,0,0,0,0
8760,1119243,2,-1,1,0,0,0,0
8761,1119242,2,-1,1,0,0,0,0
8762,1119368,3,-2,3,0,0,1,-1
8763,1121202,3,-3,7,0,0,0,0
8764,1119363,2,-2,-23,2,-1,2,-1
8765,1120308,3,-4,-3,3,-3,0,0
8766,1120470,2,-2,-1,2,-2,0,0
8767,1120476,2,-2,2,0,0,0,0
8768,1120300,3,-1,2,1,-1,0,0
8769,1121676,3,-4,-9,3,-4,0,0
8770,1120677,2,-2,-1,2,-2,0,0
8771,1120673,3,-4,6,0,0,1,-1
8772,1120570,3,-4,-4,0,0,2,-2
8773,1121935,3,-4,0,0,0,0,0
8774,1121936,3,-4,-5,0,0,0,0
8775,1121937,3,-4,3,3,-3,0,0
8776,1122180,1,-2,-1,0,0,0,0
8777,1121479,3,-3,0,3,-1,0,0
8778,1121475,2,-2,0,2,-2,0,0
8779,1121471,2,-2,6,0,0,0,0
8780,1119482,2,-2,-2,0,0,0,0
8781,1121473,3,-4,-2,2,-4,0,0
8782,1121472,1,-2,-1,0,0,0,0
8783,1120235,2,-2,3,2,-2,0,0
8784,1120236,3,-3,-8,3,-3,1,-1
8785,1121216,3,-3,-2,0,0,0,0
8786,1120231,3,-1,2,0,0,0,0
8787,1120233,2,-3,-4,1,-3,2,-2
8788,1119560,3,-2,6,1,-1,0,0
8789,1119565,2,-2,0,1,-1,0,0
8790,1120406,3,-2,1,1,-2,2,-2
8791,1121802,3,-2,7,0,0,1,-1
8792,1121804,2,-2,0,0,0,0,0
8793,1120400,2,-2,-2,0,0,1,-1
8794,1121982,2,-2,-1,2,-2,0,0
8795,1120014,2,-2,0,2,-2,0,0
8796,1120016,5,-4,5,2,-2,0,0
8797,1120017,2,-2,-1,2,-2,0,0
8798,1120159,2,-2,0,0,0,0,0
8799,1120151,2,-2,0,0,0,0,0
8800,1121518,2,-2,-1,2,-2,0,0
8801,1120900,3,-2,1,3,-2,0,0
8802,1120189,2,-2,-1,1,-2,0,0
8803,1119719,3,-2,2,2,-2,0,0
