node,page_rank,betweenness,closeness,indegree,outdegree
mozilla/_ipdltest/PTestShmemParent,2.587,0.0,0.914,0,0
toolkit/components/faststart/faststartstub,2.587,0.0,3.419,0,1
intl/uconv/ucvlatin/nsUnicodeToISO88599,2.976,0.033,3.421,2,7
ipc/chromium/src/base/platform_file_win,2.587,0.0,3.42,0,3
layout/style/nsICSSDeclaration,4.104,1090.428,3.421,6,4
extensions/pref/system-pref/src/gconf/gconf_pref_list,2.587,0.0,0.914,0,0
layout/base/nsDocumentViewer,2.67,16126.711,3.421,2,84
mozilla/docshell/OfflineCacheUpdateParent,2.587,0.0,0.914,0,0
layout/xul/base/src/nsListBoxObject,2.587,0.0,3.421,0,22
nsIFaviconService,2.587,0.0,0.914,0,0
gfx/cairo/cairo/src/cairo-path-fixed,17.525,14322.244,3.42,29,14
modules/freetype2/src/gxvalid/gxvcommn,14.35,10818.675,3.42,23,14
modules/zlib/src/adler32,3.389,0.0,3.42,2,5
toolkit/crashreporter/google-breakpad/src/processor/scoped_ptr,12.877,49922.734,3.42,24,1
nsISelectElement,2.587,0.0,0.914,0,0
modules/plugin/test/testplugin/nptest_qt,2.92,0.0,3.42,1,5
gdk/gdkprivate,2.587,0.0,0.914,0,0
googleurl/src/gurl,2.587,0.0,0.914,0,0
xpcom/base/nsDebugImpl,3.3,1585.212,3.421,7,29
toolkit/crashreporter/google-breakpad/src/client/windows/common/ipc_protocol,6.033,16.833,3.419,6,2
modules/freetype2/include/freetype/ftsystem,48.046,1659.029,3.42,105,2
nsprpub/pr/src/md/beos/bmmap,2.587,0.0,3.421,0,5
media/libnestegg/src/halloc,4.917,22086.0,3.42,2,5
storage/build/mozStorageCID,4.317,0.0,3.42,7,0
ipc/chromium/src/third_party/libevent/event-config,5.916,0.0,3.42,3,0
nsIDOMSVGAnimateTransformElement,2.587,0.0,0.914,0,0
security/nss/lib/libpkix/pkix/checker/pkix_signaturechecker,5.137,1.095,3.42,5,13
content/base/src/nsCSPService,2.734,1843.506,3.421,3,24
mozilla/_ipdltest/PTestSyncHangChild,2.587,0.0,0.914,0,0
nsIRDFInferDataSource,2.587,0.0,0.914,0,0
xpcom/reflect/xptcall/src/md/unix/xptcstubs_mips,2.587,0.0,3.421,0,10
webkit/glue/window_open_disposition,2.587,0.0,0.914,0,0
net/url_request/url_request,2.587,0.0,0.914,0,0
jpeg/jidctfst,2.587,0.0,3.419,0,3
mach/ndr,2.587,0.0,0.914,0,0
content/svg/content/src/SVGPointList,3.535,1617.567,3.421,6,24
toolkit/xre/nsEmbedFunctions,4.683,152576.339,3.421,7,24
toolkit/crashreporter/google-breakpad/src/common/dwarf/dwarf2enums,6.839,0.0,3.419,4,0
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,4.392,4.0,3.42,2,4
docshell/build/nsDocShellCID,4.505,0.0,3.42,22,0
security/manager/ssl/src/nsCertPicker,2.729,49.837,3.421,2,28
nsIIOService2,2.587,0.0,0.914,0,0
nsprpub/pr/include/prprf,215.882,18475.115,3.421,258,3
accessible/src/base/nsAccessNode,160.981,2460661.898,3.421,835,40
security/nss/lib/freebl/ecl/ec2_163,2.587,0.0,3.42,0,9
nsprpub/pr/tests/reinit,2.587,0.0,3.421,0,3
widget/src/xpwidgets/nsNativeTheme,3.096,1836.961,3.421,5,38
content/xslt/src/xslt/txGenerateIdFunctionCall,2.642,3.112,3.421,1,21
netwerk/base/src/nsURLHelperOS2,2.587,0.0,3.421,0,13
jpeg/jos2fig,2.587,0.0,0.914,0,0
toolkit/crashreporter/google-breakpad/src/processor/cfi_frame_info,8.449,8362.974,3.42,15,7
nsIUploadChannel,2.587,0.0,0.914,0,0
nsprpub/pr/src/md/unix/hpux,65.098,894378.072,3.421,9,9
gfx/cairo/cairo/src/cairo-scaled-font,26.443,77840.554,3.421,35,31
mozilla/dom/PMemoryReportRequestChild,2.587,0.0,0.914,0,0
media/libtheora/include/theora/codec,13.298,5.783,3.42,16,2
modules/freetype2/src/bdf/bdflib,3.08,573.939,3.42,2,13
content/html/content/public/nsHTMLVideoElement,2.803,115.427,3.421,3,17
security/nss/lib/ckfw/nssmkey/mtoken,2.95,473.525,3.42,1,8
security/nss/lib/zlib/gzio,3.121,3438.137,3.42,2,10
nsprpub/pr/include/prcmon,6.789,344.533,3.421,8,4
netwerk/protocol/res/nsResProtocolHandler,2.792,833.595,3.421,2,33
js/src/jstracer,10.528,214117.938,3.42,20,57
toolkit/system/gnome/nsAlertsService,2.865,5.09,3.421,2,14
intl/uconv/public/nsEncoderDecoderUtils,3.089,0.034,3.42,7,1
modules/freetype2/src/base/ftbase,3.419,47771.922,3.42,3,20
netwerk/wifi/nsWifiScannerMac,2.587,0.0,3.421,0,16
js/src/analysis-tests/green-tored,2.587,0.0,3.42,0,2
modules/libmar/src/mar_extract,3.137,1.167,3.42,1,5
gfx/thebes/gfxSharedImageSurface,4.016,59700.176,3.421,6,15
content/base/src/nsDOMLists,3.006,143.902,3.421,6,21
qapplication,2.587,0.0,0.914,0,0
security/nss/lib/freebl/mpi/mpi-priv,52.635,23696.984,3.42,24,5
content/base/public/nsLineBreaker,2.834,2.781,3.421,2,5
nsprpub/pr/src/md/unix/ncr,3.031,1942.108,3.421,2,13
nsprpub/pr/include/private/pprthred,23.919,12009.565,3.421,22,7
extensions/auth/nsAuthSSPI,2.708,0.0,3.421,1,19
widget/src/android/nsAppShell,4.469,18960.988,3.421,9,33
xpcom/string/public/nsCharTraits,64.184,47982.401,3.421,35,4
content/svg/content/src/nsSVGLineElement,2.636,20.052,3.421,1,24
nsIDOMWebGLRenderingContext,2.587,0.0,0.914,0,0
atlcomcli,2.587,0.0,0.914,0,0
toolkit/crashreporter/google-breakpad/src/common/windows/http_upload,5.721,114.299,3.42,3,3
embedding/components/find/src/nsFind,2.873,241.8,3.421,3,32
mozilla/ModuleUtils,2.587,0.0,0.914,0,0
modules/libpr0n/src/VectorImage,2.704,23809.842,3.421,2,42
extensions/java/xpcom/tools/xpidl/xpidl_util,4.759,3.525,3.421,2,4
intl/locale/src/windows/nsIWin32LocaleImpl,2.587,0.0,3.421,0,14
gfx/thebes/gfxGlitzSurface,2.587,0.0,3.421,0,4
gfx/thebes/gfxColor,167.056,28833.263,3.421,46,5
security/nss/lib/libpkix/pkix/params/pkix_resourcelimits,7.675,576.394,3.42,8,8
nestegg/nestegg-stdint,2.587,0.0,0.914,0,0
ipc/ipdl/test/cxx/TestManyChildAllocs,3.285,0.0,3.42,1,4
nsIFormHistory,2.587,0.0,0.914,0,0
modules/lib7z/LZMASDK/CPP/7zip/UI/Common/SortUtils,3.363,0.778,3.42,3,6
nsprpub/pr/src/md/windows/w32rng,2.587,0.0,3.421,0,7
AccessibleRelation_i,2.587,0.0,0.914,0,0
ipc/chromium/src/base/system_monitor,7.593,59805.258,3.42,5,8
nsICookieManager2,2.587,0.0,0.914,0,0
layout/xul/base/src/grid/nsIGridPart,3.05,120.56,3.421,4,6
browser/components/build/nsModule,2.587,0.0,3.42,0,15
modules/libjar/nsJARURI,2.923,253.037,3.421,3,26
nsICMSMessage,2.587,0.0,0.914,0,0
xpcom/tests/nsIFileEnumerator,2.587,0.0,3.421,0,12
extensions/spellcheck/hunspell/src/atypes,6.33,3126.167,3.42,7,2
modules/freetype2/src/truetype/ttinterp,3.464,26.993,3.42,5,16
nsIEnumerator,2.587,0.0,0.914,0,0
content/base/src/nsGenericDOMDataNode,5.663,27675.722,3.421,11,54
nsIWebBrowserChrome,2.587,0.0,0.914,0,0
ipc/chromium/src/base/gfx/platform_canvas_linux,2.587,0.0,0.914,0,0
nsILoginInfo,2.587,0.0,0.914,0,0
content/xslt/src/xslt/txXSLTFunctions,3.547,943.233,3.421,10,11
modules/freetype2/src/type42/t42types,3.154,0.2,3.42,3,6
dbm/include/search,2.587,0.0,0.914,0,0
intl/uconv/ucvko/nsUnicodeToJohab,2.887,0.033,3.421,2,9
ipc/chromium/src/base/mac_util,3.137,0.0,3.419,1,0
toolkit/components/url-classifier/src/nsUrlClassifierStreamUpdater,2.674,0.0,3.421,1,26
intl/uconv/ucvlatin/cp1251,2.587,0.0,0.914,0,0
js/src/methodjit/InlineFrameAssembler,2.837,0.0,3.419,2,0
macconfig,2.587,0.0,0.914,0,0
mozilla/_ipdltest/PTestMultiMgrsRightParent,2.587,0.0,0.914,0,0
nsIDocShellHistory,2.587,0.0,0.914,0,0
security/nss/lib/base/base,26.359,10902.088,3.421,57,6
xpcom/base/FunctionTimer,2.587,0.0,3.421,0,5
parser/html/nsHtml5TreeBuilderCppSupplement,3.019,6766.654,3.421,4,27
chrome/browser/memory_details,2.587,0.0,0.914,0,0
extensions/cookie/nsPermissionManager,2.971,768.975,3.421,2,36
widget/src/qt/nsScreenQt,3.231,16.539,3.421,2,6
ipc/chromium/src/chrome/common/pref_service_unittest,2.587,0.0,3.42,0,18
