node,page_rank,betweenness,closeness,indegree,outdegree
chrome/src/nsChromeRegistry,3.501,26459.7,3.499,8,40
d3d10,2.68,0.0,0.951,0,0
nsIExtensionManager,2.68,0.0,0.951,0,0
gfx/thebes/gfxXlibSurface,3.575,62776.831,3.499,7,17
security/nss/lib/freebl/mpi/test-info,3.351,0.0,3.497,1,1
security/nss/lib/base/hashops,3.386,0.0,3.499,2,5
ipc/chromium/src/third_party/libevent/kqueue,4.5,30.822,3.498,1,8
accessible/src/atk/nsAccessNodeWrap,3.818,422.604,3.498,3,5
ipc/chromium/src/third_party/libevent/sample/time-test,2.68,0.0,3.497,0,4
xpcom/tests/static-checker/OverrideOK1,2.68,0.0,3.498,0,1
nsIPhoneSupport,2.68,0.0,0.951,0,0
netwerk/test/TestCacheService,2.68,0.0,3.499,0,13
nsIAccessibleRelation,2.68,0.0,0.951,0,0
content/xul/document/src/nsXULCommandDispatcher,2.766,5.889,3.499,2,36
accessible/src/msaa/nsTextAccessibleWrap,2.77,0.0,3.499,1,26
nsIOfflineCacheUpdate,2.68,0.0,0.951,0,0
CoreFoundation/CFTimeZone,2.68,0.0,0.951,0,0
nsISocketProvider,2.68,0.0,0.951,0,0
toolkit/crashreporter/google-breakpad/src/client/windows/common/auto_critical_section,6.411,0.0,3.497,2,0
content/smil/nsSMILInterval,3.486,2.101,3.499,4,8
mozilla/plugins/PPluginModuleParent,2.68,0.0,0.951,0,0
mozilla/jetpack/PHandleChild,2.68,0.0,0.951,0,0
AccessibleAction_i,2.68,0.0,0.951,0,0
ipc/chromium/src/third_party/libevent/evdns,3.828,154.324,3.498,2,6
js/src/jsiter,13.463,785.515,3.498,29,45
gfx/angle/src/compiler/ossource_win,2.68,0.0,3.496,0,1
other-licenses/7zstub/src/7zip/Compress/LZMA/LZMADecoder,2.821,0.0,3.497,1,17
sys/ioccom,2.68,0.0,0.951,0,0
widget/src/windows/WidgetTraceEvent,2.68,0.0,3.499,0,12
layout/inspector/src/inLayoutUtils,3.324,1146.023,3.498,5,13
ipc/chromium/src/base/trace_event,2.812,0.0,3.498,1,18
xpcom/base/nsMemoryImpl,168.821,296987.781,3.499,109,23
usr/include/linux/kernel,2.68,0.0,0.951,0,0
gfx/angle/include/EGL/egl,8.995,8.333,3.497,9,1
security/nss/lib/crmf/crmf,5.196,1178.027,3.499,15,12
nsIIOService,2.68,0.0,0.951,0,0
content/xslt/src/xslt/txTextOutput,3.103,0.0,3.499,2,8
ipc/chromium/src/chrome/common/gears_api,2.68,0.0,3.498,0,2
js/src/ctypes/libffi/testsuite/libffi.call/promotion,2.68,0.0,3.496,0,1
security/nss/lib/crmf/servget,2.765,5615.442,3.499,2,22
security/nss/lib/freebl/ecl/ecl-exp,16.878,0.0,3.498,18,0
mobile/components/build/nsSSLCertErrorDialog,22.926,0.0,3.497,2,1
nsIException,2.68,0.0,0.951,0,0
intl/uconv/ucvlatin/nsUnicodeToISO885916,3.084,0.033,3.499,2,7
modules/libimg/png/pngwutil,8.779,23740.18,3.497,1,2
media/libvpx/vp8/vp8_dx_iface,5.998,52429.427,3.498,2,16
chrome/src/nsChromeRegistryChrome,2.888,22604.021,3.499,3,37
modules/freetype2/builds/amiga/include/freetype/config/ftmodule,2.68,0.0,0.951,0,0
nsIDOMGeoPositionCallback,2.68,0.0,0.951,0,0
gfx/cairo/cairo/src/cairo-path-in-fill,3.1,2.625,3.498,1,10
nsISocketTransport,2.68,0.0,0.951,0,0
security/nss/lib/certhigh/certreq,4.59,933.894,3.499,6,23
xpcom/reflect/xptcall/src/md/unix/xptcstubs_nto_arm,2.68,0.0,3.499,0,7
security/nss/cmd/libpkix/pkix/params/test_resourcelimits,2.712,2.489,3.498,1,9
js/src/jsobjinlines,20.488,3879.379,3.498,53,38
security/nss/lib/libpkix/pkix_pl_nss/pki/pkix_pl_x500name,9.895,1180.99,3.499,14,21
modules/libmar/src/mar_read,7.411,1863.129,3.499,4,4
content/events/src/nsDOMCommandEvent,2.886,0.168,3.499,2,15
security/nss/lib/freebl/genload,2.809,366.37,3.499,1,10
content/events/src/nsDOMCustomEvent,2.875,0.23,3.499,2,16
gfx/cairo/cairo/src/cairo-truetype-subset-private,2.68,0.0,3.497,0,2
content/xslt/src/xpath/txLocationStep,2.808,6953.235,3.499,1,17
mozilla/_ipdltest/PTestCrashCleanupParent,2.68,0.0,0.951,0,0
nsIPKCS11ModuleDB,2.68,0.0,0.951,0,0
xpcom/tests/component/TestComponent,2.68,0.0,3.498,0,2
modules/freetype2/src/gzip/zlib,6.757,1839.202,3.497,8,4
nsIScriptableInputStream,2.68,0.0,0.951,0,0
editor/libeditor/base/JoinElementTxn,2.914,38.491,3.499,2,16
layout/generic/nsLineLayout,4.067,4386.508,3.499,14,46
gfx/layers/d3d10/ThebesLayerD3D10,3.007,209.414,3.499,3,27
parser/htmlparser/public/nsITokenizer,5.613,224.179,3.499,10,8
